Rating,size,ownership,industry,sector,revenue,avg_salary,company_text,state,age,sql,python,java,sas,matlab,javascript,c++,scala,hadoop,spark,hive,deep_learning,nlp,cv,tensorflow,pytorch,keras,title_simple,seniority,description
4.5,201 to 500,Company - Private,others,Business Services,$25 to $50 million,86.0,Envision LLC,MO,26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,993
4.5,10000+,Company - Public,Internet,Information Technology,$5 to $10 billion,125.0,Facebook,DC,16,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,others,4680
4.5,1 to 50,Company - Private,others,Business Services,$25 to $50 million,91.0,"TechSource, Inc.",NM,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,others,others,5989
3.6,10000+,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion,75.5,General Dynamics Information Technology,VA,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,others,3323
3.0,501 to 1000,Company - Public,others,others,$500 million to $1 billion,94.5,"Medifast, Inc.",MD,40,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,data scientist,senior,3126
3.5,1001 to 5000,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion,86.5,West Bend Mutual Insurance Company,WI,126,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data engineer,others,1503
3.4,10000+,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion,89.5,GEICO,MD,84,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,data engineer,senior,3394
3.6,1001 to 5000,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,40.0,Children's Hospital & Medical Center,NE,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,5348
3.6,10000+,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion,56.0,General Dynamics Information Technology,MD,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,6389
3.6,501 to 1000,Company - Public,others,Finance,$100 to $500 million,132.0,Elevate Credit,TX,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,2739
3.9,1 to 50,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million,94.5,Axle Informatics,MD,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,others,senior,5043
